week,cohort_size,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8
9/18/2023,5,0,0,0,0,0,0,0,0
9/11/2023,12,25,0,0,0,0,0,0,0
9/4/2023,8,50,37.5,0,0,0,0,0,0
8/28/2023,11,9.09,9.09,18.18,0,0,0,0,0
8/21/2023,7,42.86,42.86,28.57,42.86,0,0,0,0
8/14/2023,10,60,40,30,30,40,0,0,0
8/7/2023,11,54.55,27.27,36.36,18.18,18.18,18.18,0,0
7/31/2023,8,25,12.5,12.5,0,12.5,12.5,0,0
7/24/2023,7,42.86,42.86,28.57,14.29,0,14.29,28.57,0
7/17/2023,9,22.22,22.22,44.44,33.33,11.11,11.11,11.11,11.11
7/10/2023,16,25,18.75,12.5,31.25,43.75,25,12.5,12.5
7/3/2023,10,50,20,20,10,30,50,30,0
6/26/2023,7,57.14,42.86,42.86,14.29,14.29,42.86,42.86,14.29
6/19/2023,13,7.69,30.77,30.77,15.38,30.77,15.38,15.38,30.77
6/12/2023,12,50,16.67,33.33,41.67,16.67,8.33,8.33,16.67
6/5/2023,22,36.36,27.27,18.18,27.27,31.82,13.64,9.09,4.55
5/29/2023,7,42.86,28.57,14.29,28.57,28.57,28.57,28.57,14.29
5/22/2023,6,50,33.33,33.33,16.67,33.33,33.33,33.33,33.33
5/15/2023,14,14.29,14.29,7.14,7.14,7.14,7.14,7.14,7.14
5/8/2023,251,2.79,1.2,2.39,1.59,1.99,0.8,0.8,1.2
5/1/2023,1634,2.02,0.37,0.31,0.31,0.67,0.31,0.43,0.24
4/24/2023,15,60,40,13.33,13.33,26.67,60,33.33,20
4/17/2023,10,60,60,30,10,20,30,60,40
4/10/2023,10,70,50,50,20,10,20,30,60
4/3/2023,5,100,80,80,80,40,20,40,60
